Line 1 -- 	Value: 'module' Type: 'MODULE'
Line 6 -- 	Value: ';' Type: 'SEMICOLON'
Line 8 -- 	Value: 'fn' Type: 'FN'
Line 8 -- 	Value: 'int' Type: 'IDENTIFIER'
Line 8 -- 	Value: 'main' Type: 'IDENTIFIER'
Line 8 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 8 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 8 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 8 -- 	Value: ']' Type: 'CLOSE_BRACKET'
Line 8 -- 	Value: 'args' Type: 'IDENTIFIER'
Line 8 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 9 -- 	Value: '{' Type: 'OPEN_BODY'
Line 10 -- 	Value: ' io::printn("Hello, World!");' Type: 'COMMENT'
Line 11 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 11 -- 	Value: 'path' Type: 'IDENTIFIER'
Line 11 -- 	Value: '=' Type: 'IDENTIFIER'
Line 11 -- 	Value: '$$FILEPATH' Type: 'IDENTIFIER'
Line 11 -- 	Value: ';' Type: 'SEMICOLON'
Line 11 -- 	Value: '//' Type: 'COMMENT'
Line 11 -- 	Value: 'main.c3' Type: 'STRING_LIT'
Line 11 -- 	Value: ';' Type: 'SEMICOLON'
Line 12 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 12 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 12 -- 	Value: '=' Type: 'IDENTIFIER'
Line 12 -- 	Value: 'read_file' Type: 'IDENTIFIER'
Line 12 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 12 -- 	Value: 'path' Type: 'IDENTIFIER'
Line 12 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 12 -- 	Value: ';' Type: 'SEMICOLON'
Line 14 -- 	Value: 'int' Type: 'IDENTIFIER'
Line 14 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 14 -- 	Value: '=' Type: 'IDENTIFIER'
Line 14 -- 	Value: '1' Type: 'NUMBER_LIT'
Line 15 -- 	Value: 'TokenList' Type: 'IDENTIFIER'
Line 15 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 15 -- 	Value: ';' Type: 'SEMICOLON'
Line 16 -- 	Value: 'DString' Type: 'IDENTIFIER'
Line 16 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 16 -- 	Value: ';' Type: 'SEMICOLON'
Line 17 -- 	Value: 'defer' Type: 'IDENTIFIER'
Line 17 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 17 -- 	Value: '.' Type: 'PERIOD'
Line 17 -- 	Value: 'free' Type: 'IDENTIFIER'
Line 17 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 17 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 17 -- 	Value: ';' Type: 'SEMICOLON'
Line 18 -- 	Value: 'defer' Type: 'IDENTIFIER'
Line 18 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 18 -- 	Value: '.' Type: 'PERIOD'
Line 18 -- 	Value: 'free' Type: 'IDENTIFIER'
Line 18 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 18 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 18 -- 	Value: ';' Type: 'SEMICOLON'
Line 19 -- 	Value: 'defer' Type: 'IDENTIFIER'
Line 19 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 19 -- 	Value: '.' Type: 'PERIOD'
Line 19 -- 	Value: 'free' Type: 'IDENTIFIER'
Line 19 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 19 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 19 -- 	Value: ';' Type: 'SEMICOLON'
Line 21 -- 	Value: 'int' Type: 'IDENTIFIER'
Line 21 -- 	Value: 'index' Type: 'IDENTIFIER'
Line 21 -- 	Value: '=' Type: 'IDENTIFIER'
Line 21 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 22 -- 	Value: 'while' Type: 'IDENTIFIER'
Line 22 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 22 -- 	Value: 'index' Type: 'IDENTIFIER'
Line 22 -- 	Value: '<' Type: 'IDENTIFIER'
Line 22 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 22 -- 	Value: '.' Type: 'PERIOD'
Line 22 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 22 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 22 -- 	Value: '{' Type: 'OPEN_BODY'
Line 23 -- 	Value: 'char' Type: 'IDENTIFIER'
Line 23 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 23 -- 	Value: '=' Type: 'IDENTIFIER'
Line 23 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 23 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 23 -- 	Value: 'index++' Type: 'IDENTIFIER'
Line 23 -- 	Value: ']' Type: 'CLOSE_BRACKET'
Line 23 -- 	Value: ';' Type: 'SEMICOLON'
Line 24 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 24 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 24 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 24 -- 	Value: '==' Type: 'IDENTIFIER'
Line 24 -- 	Value: '\n' Type: 'STRING_LIT'
Line 24 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 24 -- 	Value: '{' Type: 'OPEN_BODY'
Line 25 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 25 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 25 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 25 -- 	Value: '.' Type: 'PERIOD'
Line 25 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 25 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 25 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 25 -- 	Value: '>' Type: 'IDENTIFIER'
Line 25 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 25 -- 	Value: '{' Type: 'OPEN_BODY'
Line 26 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 26 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 26 -- 	Value: '=' Type: 'IDENTIFIER'
Line 26 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 26 -- 	Value: '.' Type: 'PERIOD'
Line 26 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 26 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 26 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 26 -- 	Value: ';' Type: 'SEMICOLON'
Line 27 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 27 -- 	Value: '.' Type: 'PERIOD'
Line 27 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 27 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 27 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 27 -- 	Value: ',' Type: 'COMMA'
Line 27 -- 	Value: 'string_as_token' Type: 'IDENTIFIER'
Line 27 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 27 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 27 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 27 -- 	Value: ',' Type: 'COMMA'
Line 27 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 27 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 27 -- 	Value: ';' Type: 'SEMICOLON'
Line 28 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 28 -- 	Value: '.' Type: 'PERIOD'
Line 28 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 28 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 28 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 28 -- 	Value: ';' Type: 'SEMICOLON'
Line 29 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 30 -- 	Value: 'lineCount++' Type: 'IDENTIFIER'
Line 30 -- 	Value: ';' Type: 'SEMICOLON'
Line 31 -- 	Value: 'continue' Type: 'IDENTIFIER'
Line 31 -- 	Value: ';' Type: 'SEMICOLON'
Line 32 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 34 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 34 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 34 -- 	Value: 'std' Type: 'IDENTIFIER'
Line 34 -- 	Value: ':' Type: 'COLON'
Line 34 -- 	Value: ':' Type: 'COLON'
Line 34 -- 	Value: 'core' Type: 'IDENTIFIER'
Line 34 -- 	Value: ':' Type: 'COLON'
Line 34 -- 	Value: ':' Type: 'COLON'
Line 34 -- 	Value: 'string' Type: 'IDENTIFIER'
Line 34 -- 	Value: ':' Type: 'COLON'
Line 34 -- 	Value: ':' Type: 'COLON'
Line 34 -- 	Value: 'char_in_set' Type: 'IDENTIFIER'
Line 34 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 34 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 34 -- 	Value: ',' Type: 'COMMA'
Line 34 -- 	Value: '0123456789' Type: 'STRING_LIT'
Line 34 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 34 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 34 -- 	Value: '{' Type: 'OPEN_BODY'
Line 35 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 35 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 35 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 35 -- 	Value: '.' Type: 'PERIOD'
Line 35 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 35 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 35 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 35 -- 	Value: '>' Type: 'IDENTIFIER'
Line 35 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 35 -- 	Value: '{' Type: 'OPEN_BODY'
Line 36 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 36 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 36 -- 	Value: '=' Type: 'IDENTIFIER'
Line 36 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 36 -- 	Value: '.' Type: 'PERIOD'
Line 36 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 36 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 36 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 36 -- 	Value: ';' Type: 'SEMICOLON'
Line 37 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 37 -- 	Value: '.' Type: 'PERIOD'
Line 37 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 37 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 37 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 37 -- 	Value: ',' Type: 'COMMA'
Line 37 -- 	Value: 'string_as_token' Type: 'IDENTIFIER'
Line 37 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 37 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 37 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 37 -- 	Value: ',' Type: 'COMMA'
Line 37 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 37 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 37 -- 	Value: ';' Type: 'SEMICOLON'
Line 38 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 38 -- 	Value: '.' Type: 'PERIOD'
Line 38 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 38 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 38 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 38 -- 	Value: ';' Type: 'SEMICOLON'
Line 39 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 40 -- 	Value: 'while' Type: 'IDENTIFIER'
Line 40 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 40 -- 	Value: 'index' Type: 'IDENTIFIER'
Line 40 -- 	Value: '<' Type: 'IDENTIFIER'
Line 40 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 40 -- 	Value: '.' Type: 'PERIOD'
Line 40 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 40 -- 	Value: '&&' Type: 'IDENTIFIER'
Line 40 -- 	Value: 'std' Type: 'IDENTIFIER'
Line 40 -- 	Value: ':' Type: 'COLON'
Line 40 -- 	Value: ':' Type: 'COLON'
Line 40 -- 	Value: 'core' Type: 'IDENTIFIER'
Line 40 -- 	Value: ':' Type: 'COLON'
Line 40 -- 	Value: ':' Type: 'COLON'
Line 40 -- 	Value: 'string' Type: 'IDENTIFIER'
Line 40 -- 	Value: ':' Type: 'COLON'
Line 40 -- 	Value: ':' Type: 'COLON'
Line 40 -- 	Value: 'char_in_set' Type: 'IDENTIFIER'
Line 40 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 40 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 40 -- 	Value: ',' Type: 'COMMA'
Line 40 -- 	Value: '0123456789' Type: 'STRING_LIT'
Line 40 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 40 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 40 -- 	Value: '{' Type: 'OPEN_BODY'
Line 41 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 41 -- 	Value: '.' Type: 'PERIOD'
Line 41 -- 	Value: 'append' Type: 'IDENTIFIER'
Line 41 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 41 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 41 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 41 -- 	Value: ';' Type: 'SEMICOLON'
Line 42 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 42 -- 	Value: '=' Type: 'IDENTIFIER'
Line 42 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 42 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 42 -- 	Value: 'index++' Type: 'IDENTIFIER'
Line 42 -- 	Value: ']' Type: 'CLOSE_BRACKET'
Line 42 -- 	Value: ';' Type: 'SEMICOLON'
Line 43 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 44 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 44 -- 	Value: '.' Type: 'PERIOD'
Line 44 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 44 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 44 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 44 -- 	Value: '.' Type: 'PERIOD'
Line 44 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 44 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 44 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 44 -- 	Value: ',' Type: 'COMMA'
Line 44 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 44 -- 	Value: '.' Type: 'PERIOD'
Line 44 -- 	Value: 'NUMBER_LIT' Type: 'IDENTIFIER'
Line 44 -- 	Value: ',' Type: 'COMMA'
Line 44 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 44 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 44 -- 	Value: ';' Type: 'SEMICOLON'
Line 45 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 45 -- 	Value: '.' Type: 'PERIOD'
Line 45 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 45 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 45 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 45 -- 	Value: ';' Type: 'SEMICOLON'
Line 46 -- 	Value: 'continue' Type: 'IDENTIFIER'
Line 46 -- 	Value: ';' Type: 'SEMICOLON'
Line 47 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 49 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 49 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 49 -- 	Value: '=' Type: 'IDENTIFIER'
Line 49 -- 	Value: 'char_as_token' Type: 'IDENTIFIER'
Line 49 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 49 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 49 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 49 -- 	Value: ';' Type: 'SEMICOLON'
Line 51 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 51 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 51 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 51 -- 	Value: '==' Type: 'IDENTIFIER'
Line 51 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 51 -- 	Value: '.' Type: 'PERIOD'
Line 51 -- 	Value: 'DOUBLE_QUOTE' Type: 'IDENTIFIER'
Line 51 -- 	Value: '||' Type: 'IDENTIFIER'
Line 51 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 51 -- 	Value: '==' Type: 'IDENTIFIER'
Line 51 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 51 -- 	Value: '.' Type: 'PERIOD'
Line 51 -- 	Value: 'QUOTE' Type: 'IDENTIFIER'
Line 51 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 51 -- 	Value: '{' Type: 'OPEN_BODY'
Line 52 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 52 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 52 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 52 -- 	Value: '.' Type: 'PERIOD'
Line 52 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 52 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 52 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 52 -- 	Value: '>' Type: 'IDENTIFIER'
Line 52 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 52 -- 	Value: '{' Type: 'OPEN_BODY'
Line 53 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 53 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 53 -- 	Value: '=' Type: 'IDENTIFIER'
Line 53 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 53 -- 	Value: '.' Type: 'PERIOD'
Line 53 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 53 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 53 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 53 -- 	Value: ';' Type: 'SEMICOLON'
Line 54 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 54 -- 	Value: '.' Type: 'PERIOD'
Line 54 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 54 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 54 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 54 -- 	Value: ',' Type: 'COMMA'
Line 54 -- 	Value: 'string_as_token' Type: 'IDENTIFIER'
Line 54 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 54 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 54 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 54 -- 	Value: ',' Type: 'COMMA'
Line 54 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 54 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 54 -- 	Value: ';' Type: 'SEMICOLON'
Line 55 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 55 -- 	Value: '.' Type: 'PERIOD'
Line 55 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 55 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 55 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 55 -- 	Value: ';' Type: 'SEMICOLON'
Line 56 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 57 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 57 -- 	Value: '=' Type: 'IDENTIFIER'
Line 57 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 57 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 57 -- 	Value: 'index++' Type: 'IDENTIFIER'
Line 57 -- 	Value: ']' Type: 'CLOSE_BRACKET'
Line 57 -- 	Value: ';' Type: 'SEMICOLON'
Line 58 -- 	Value: 'while' Type: 'IDENTIFIER'
Line 58 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 58 -- 	Value: 'index' Type: 'IDENTIFIER'
Line 58 -- 	Value: '<' Type: 'IDENTIFIER'
Line 58 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 58 -- 	Value: '.' Type: 'PERIOD'
Line 58 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 58 -- 	Value: '&&' Type: 'IDENTIFIER'
Line 58 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 58 -- 	Value: '!' Type: 'OPTIONAL'
Line 58 -- 	Value: '=' Type: 'IDENTIFIER'
Line 58 -- 	Value: 'char_as_token' Type: 'IDENTIFIER'
Line 58 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 58 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 58 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 58 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 58 -- 	Value: '{' Type: 'OPEN_BODY'
Line 59 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 59 -- 	Value: '.' Type: 'PERIOD'
Line 59 -- 	Value: 'append' Type: 'IDENTIFIER'
Line 59 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 59 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 59 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 59 -- 	Value: ';' Type: 'SEMICOLON'
Line 60 -- 	Value: 'current' Type: 'IDENTIFIER'
Line 60 -- 	Value: '=' Type: 'IDENTIFIER'
Line 60 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 60 -- 	Value: '[' Type: 'OPEN_BRACKET'
Line 60 -- 	Value: 'index++' Type: 'IDENTIFIER'
Line 60 -- 	Value: ']' Type: 'CLOSE_BRACKET'
Line 60 -- 	Value: ';' Type: 'SEMICOLON'
Line 61 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 62 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 62 -- 	Value: '.' Type: 'PERIOD'
Line 62 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 62 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 62 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 62 -- 	Value: '.' Type: 'PERIOD'
Line 62 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 62 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 62 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 62 -- 	Value: ',' Type: 'COMMA'
Line 62 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 62 -- 	Value: '.' Type: 'PERIOD'
Line 62 -- 	Value: 'STRING_LIT' Type: 'IDENTIFIER'
Line 62 -- 	Value: ',' Type: 'COMMA'
Line 62 -- 	Value: 'lineCount' Type: 'IDENTIFIER'
Line 62 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 62 -- 	Value: ';' Type: 'SEMICOLON'
Line 63 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 63 -- 	Value: '.' Type: 'PERIOD'
Line 63 -- 	Value: 'clear' Type: 'IDENTIFIER'
Line 63 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 63 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 63 -- 	Value: ';' Type: 'SEMICOLON'
Line 64 -- 	Value: 'continue' Type: 'IDENTIFIER'
Line 64 -- 	Value: ';' Type: 'SEMICOLON'
Line 65 -- 	Value: '}' Type: 'CLOSE_BODY'
Line 67 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 67 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 67 -- 	Value: 'type' Type: 'IDENTIFIER'
Line 67 -- 	Value: '!' Type: 'OPTIONAL'
Line 67 -- 	Value: '=' Type: 'IDENTIFIER'
Line 67 -- 	Value: 'TokenType' Type: 'IDENTIFIER'
Line 67 -- 	Value: '.' Type: 'PERIOD'
Line 67 -- 	Value: 'IDENTIFIER' Type: 'IDENTIFIER'
Line 67 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 67 -- 	Value: '{' Type: 'OPEN_BODY'
Line 68 -- 	Value: 'if' Type: 'IDENTIFIER'
Line 68 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 68 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 68 -- 	Value: '.' Type: 'PERIOD'
Line 68 -- 	Value: 'len' Type: 'IDENTIFIER'
Line 68 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 68 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 68 -- 	Value: '>' Type: 'IDENTIFIER'
Line 68 -- 	Value: '0' Type: 'NUMBER_LIT'
Line 68 -- 	Value: '{' Type: 'OPEN_BODY'
Line 69 -- 	Value: 'String' Type: 'IDENTIFIER'
Line 69 -- 	Value: 'copy' Type: 'IDENTIFIER'
Line 69 -- 	Value: '=' Type: 'IDENTIFIER'
Line 69 -- 	Value: 'dstring' Type: 'IDENTIFIER'
Line 69 -- 	Value: '.' Type: 'PERIOD'
Line 69 -- 	Value: 'copy_str' Type: 'IDENTIFIER'
Line 69 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 69 -- 	Value: ')' Type: 'CLOSE_PAREN'
Line 69 -- 	Value: ';' Type: 'SEMICOLON'
Line 70 -- 	Value: 'list' Type: 'IDENTIFIER'
Line 70 -- 	Value: '.' Type: 'PERIOD'
Line 70 -- 	Value: 'append_token' Type: 'IDENTIFIER'
Line 70 -- 	Value: '(' Type: 'OPEN_PAREN'
Line 70 -- 	Value: 'copy' Type: 'IDENTIFIER'
